U+7684	的	de,dī,dí,dì
U+758F	疏	shū
U+7FF0	翰	hàn
U+5835	堵	dǔ
U+8155	腕	wàn
U+7738	眸	móu
U+82B8	芸	yún
U+6EAA	溪	xī
U+6BB7	殷	yān,yīn
U+8C0E	谎	huǎng
U+9F0E	鼎	dǐng
U+7A3F	稿	gǎo
U+54DF	哟	yō,yo
U+51A4	冤	yuān
U+75C7	症	zhēng,zhèng
U+68F5	棵	kē
U+72C4	狄	dí
U+54A7	咧	liē,liě
U+6E58	湘	xiāng
U+5B9B	宛	wǎn
U+5AE9	嫩	nèn
U+8086	肆	sì
U+5BB0	宰	zǎi
U+61BE	憾	hàn
U+507F	偿	cháng
U+8154	腔	qiāng
U+54E9	哩	lī,li
U+8C79	豹	bào
U+7470	瑰	guī
U+9274	鉴	jiàn
U+7ED1	绑	bǎng
U+6F47	潇	xiāo
U+621A	戚	qī
U+90E1	郡	jùn
U+6FA1	澡	zǎo
U+6842	桂	guì
U+516E	兮	xī
U+96EF	雯	wén
U+98A0	颠	diān
U+72EE	狮	shī
U+90BB	邻	lín
U+5951	契	qì
U+9A87	骇	hài
U+535C	卜	bo,bǔ
U+63ED	揭	jiē
U+5984	妄	wàng
U+5751	坑	kēng
U+4F10	伐	fá
U+77E9	矩	jǔ
U+70C1	烁	shuò
U+846C	葬	zàng
U+8BC0	诀	jué
U+9119	鄙	bǐ
U+9E7F	鹿	lù
U+67CF	柏	bǎi,bó
U+6E83	溃	huì,kuì
U+6715	朕	zhèn
U+821F	舟	zhōu
U+5986	妆	zhuāng
U+8E81	躁	zào
U+9709	霉	méi
U+4FA6	侦	zhēn
U+51BB	冻	dòng
U+5A05	娅	yà
U+5EB8	庸	yōng
U+7B79	筹	chóu
U+524A	削	xiāo,xuē
U+7830	砰	pēng
U+803F	耿	gěng
U+727A	牺	xī
U+7B52	筒	tǒng
U+9042	遂	suí,suì
U+65ED	旭	xù
U+80CE	胎	tāi
U+60F6	惶	huáng
U+6DD1	淑	shū
U+53C9	叉	chā,chá,chǎ,chà
U+75D2	痒	yǎng
U+7AD6	竖	shù
U+9F9F	龟	guī,jūn,qiū
U+6591	斑	bān
U+5112	儒	rú
U+5AE3	嫣	yān
U+5B85	宅	zhái
U+62BC	押	yā
U+80C3	胃	wèi
U+65E8	旨	zhǐ
U+518C	册	cè
U+819D	膝	xī
U+6D78	浸	jìn
U+5F26	弦	xián
U+680F	栏	lán
U+8877	衷	zhōng
U+522E	刮	guā
U+8247	艇	tǐng
U+5C97	岗	gāng,gǎng
U+8D74	赴	fù
U+56CA	囊	nāng,náng
U+65A7	斧	fǔ
U+988A	颊	jiá
U+7586	疆	jiāng
U+7089	炉	lú
U+584C	塌	tā
U+4E5E	乞	qǐ
U+65FA	旺	wàng
U+70E4	烤	kǎo
U+9EDB	黛	dài
U+900A	逊	xùn
U+8D31	贱	jiàn
U+8FA8	辨	biàn
U+72F8	狸	lí
U+53D9	叙	xù
U+6115	愕	è
U+53E0	叠	dié
U+9063	遣	qiǎn
U+664C	晌	shǎng
U+9E9F	麟	lín
U+8165	腥	xīng
U+7C92	粒	lì
U+62DF	拟	nǐ
U+4FCF	俏	qiào
U+6756	杖	zhàng
U+829D	芝	zhī
U+5937	夷	yí
U+886C	衬	chèn
U+4F50	佐	zuǒ
U+5DF7	巷	hàng,xiàng
U+6361	捡	jiǎn
U+9075	遵	zūn
U+5851	塑	sù
U+6876	桶	tǒng
U+6CFC	泼	pō
U+6EE9	滩	tān
U+743C	琼	qióng
U+660A	昊	hào
U+5E06	帆	fān
U+640F	搏	bó
U+9888	颈	gěng,jǐng
U+5662	噢	ō
U+8E66	蹦	bèng
U+5BE1	寡	guǎ
U+8D1E	贞	zhēn
U+51F0	凰	huáng
U+54E8	哨	shào
U+62C6	拆	chāi
U+8339	茹	rú
U+52A3	劣	liè
U+5631	嘱	zhǔ
U+6C83	沃	wò
U+53A2	厢	xiāng
U+6458	摘	zhāi
U+548B	咋	zǎ,zé,zhā
U+5764	坤	kūn
U+4FEF	俯	fǔ
U+5AB3	媳	xí
U+8D4B	赋	fù
U+5636	嘶	sī
U+8D21	贡	gòng
U+788C	碌	liù,lù
U+5319	匙	chí,shi
U+62E2	拢	lǒng
U+8C2D	谭	tán
U+7FC1	翁	wēng
U+8F9C	辜	gū
U+7AED	竭	jié
U+5EC9	廉	lián
U+68B0	械	xiè
U+8D38	贸	mào
U+8F85	辅	fǔ
U+8BBD	讽	fěng
U+5450	呐	nà
U+658C	斌	bīn
U+8FBD	辽	liáo
U+586B	填	tián
U+7A83	窃	qiè
U+6284	抄	chāo
U+6EA2	溢	yì
U+5992	妒	dù
U+5401	吁	xū,yū,yù
U+55E6	嗦	suō
U+6380	掀	xiān
U+8299	芙	fú
U+7948	祈	qí
U+680B	栋	dòng
U+5431	吱	zhī,zī
U+6487	撇	piē,piě
U+80DE	胞	bāo
U+8F7F	轿	jiào
U+7985	禅	chán,shàn
U+59A8	妨	fáng
U+62C2	拂	fú
U+5026	倦	juàn
U+8870	衰	shuāi
U+9756	靖	jìng
U+5FAA	循	xún
U+632A	挪	nuó
U+84EC	蓬	péng
U+60E9	惩	chéng
U+5783	垃	lā
U+8D26	账	zhàng
U+9A73	驳	bó
U+7F72	署	shǔ
U+752B	甫	fǔ
U+987D	顽	wán
U+59E5	姥	lǎo
U+573E	圾	jī
U+71AC	熬	āo,áo
U+6795	枕	zhěn
U+4E10	丐	gài
U+831C	茜	qiàn,xī
U+54A6	咦	yí
U+5395	厕	cè
U+6500	攀	pān
U+5F64	彤	tóng
U+598D	妍	yán
U+62FD	拽	zhuài
U+8346	荆	jīng
U+5993	妓	jì
U+58F6	壶	hú
U+65BC	於	yū,yú
U+5BC7	寇	kòu
U+9E64	鹤	hè
U+94A5	钥	yào,yuè
U+9AA4	骤	zhòu
U+6E3A	渺	miǎo
U+520A	刊	kān
U+80A2	肢	zhī
U+70DB	烛	zhú
U+5B55	孕	yùn
U+7EFD	绽	zhàn
U+5F66	彦	yàn
U+68C9	棉	mián
U+4FD8	俘	fú
U+76D4	盔	kuī
U+526A	剪	jiǎn
U+8BDE	诞	dàn
U+515C	兜	dōu
U+51DB	凛	lǐn
U+5CAD	岭	lǐng
U+56A3	嚣	xiāo
U+6E85	溅	jiàn
U+7B1B	笛	dí
U+8231	舱	cāng
U+7F55	罕	hǎn
U+9E2D	鸭	yā
U+503A	债	zhài
U+566C	噬	shì
U+9489	钉	dīng,dìng
U+8EAC	躬	gōng
U+501A	倚	yǐ
U+7F15	缕	lǚ
U+549A	咚	dōng
U+64BC	撼	hàn
U+854A	蕊	ruǐ
U+4F84	侄	zhí
U+4F51	佑	yòu
U+96C1	雁	yàn
U+96B6	隶	lì
U+8DF5	践	jiàn
U+62F1	拱	gǒng
U+6C90	沐	mù
U+83CA	菊	jú
U+8702	蜂	fēng
U+88D5	裕	yù
U+5146	兆	zhào
U+6405	搅	jiǎo
U+5C3F	尿	niào,suī
U+9EEF	黯	àn
U+6B79	歹	dǎi
U+84C4	蓄	xù
U+6726	朦	méng
U+5600	嘀	dí
U+602F	怯	qiè
U+53E8	叨	dāo,dáo,tāo
U+7EBD	纽	niǔ
U+8058	聘	pìn
U+817B	腻	nì
U+5265	剥	bāo,bō
U+5F6A	彪	biāo
U+6CB8	沸	fèi
U+6C13	氓	máng
U+699C	榜	bǎng
U+903B	逻	luó
U+58F3	壳	ké,qiào
U+50A8	储	chǔ
U+618B	憋	biē
U+5564	啤	pí
U+5320	匠	jiàng
U+608D	悍	hàn
U+6627	昧	mèi
U+6CCA	泊	bó,pō
U+7BF7	篷	péng
U+70EB	烫	tàng
U+72E1	狡	jiǎo
U+8F68	轨	guǐ
U+6C79	汹	xiōng
U+643A	携	xié
U+78CA	磊	lěi
U+9699	隙	xì
U+4ED1	仑	lún
U+6467	摧	cuī
U+7784	瞄	miáo
U+80E7	胧	lóng
U+8D8B	趋	qū
U+6320	挠	náo
U+714C	煌	huáng
U+64C5	擅	shàn
U+5352	卒	cù,zú
U+997C	饼	bǐng
U+72ED	狭	xiá
U+4E38	丸	wán
U+60EB	惫	bèi
U+7785	瞅	chǒu
U+72AC	犬	quǎn
U+7816	砖	zhuān
U+77E3	矣	yǐ
U+695E	楞	léng
U+6614	昔	xī
U+88F3	裳	shang
U+9A86	骆	luò
U+96C7	雇	gù
U+960E	阎	yán
U+9AB7	骷	kū
U+9E26	鸦	yā
U+599E	妞	niū
U+5885	墅	shù
U+711A	焚	fén
U+8C31	谱	pǔ
U+7ED8	绘	huì
U+68B3	梳	shū
U+80BF	肿	zhǒng
U+9B41	魁	kuí
U+803D	耽	dān
U+64D2	擒	qín
U+9661	陡	dǒu
U+748B	璋	zhāng
U+8302	茂	mào
U+8E44	蹄	tí
U+77A5	瞥	piē
U+77B3	瞳	tóng
U+9AC5	髅	lóu
U+7EE3	绣	xiù
U+7855	硕	shuò
U+80BA	肺	fèi
U+5179	兹	cí,zī
U+7092	炒	chǎo
U+90AE	邮	yóu
U+5F18	弘	hóng
U+5AC9	嫉	jí
U+5C4A	届	jiè
U+55E1	嗡	wēng
U+5A31	娱	yú
U+55A7	喧	xuān
U+8102	脂	zhī
U+819B	膛	táng
U+6CA7	沧	cāng
U+759A	疚	jiù
U+76D0	盐	yán
U+6241	扁	biǎn,piān
U+6401	搁	gē,gé
U+8305	茅	máo
U+6ED4	滔	tāo
U+575F	坟	fén
U+6390	掐	qiā
U+745C	瑜	yú
U+90B1	邱	qiū
U+6850	桐	tóng
U+8335	茵	yīn
U+82F9	苹	píng
U+65F7	旷	kuàng
U+7FD8	翘	qiáo,qiào
U+90DD	郝	hǎo
U+84E6	蓦	mò
U+8BC8	诈	zhà
U+6CAB	沫	mò
U+83C1	菁	jīng
U+7CB9	粹	cuì
U+7422	琢	zhuó,zuó
U+814A	腊	là
U+94A6	钦	qīn
U+55BB	喻	yù
U+5BAA	宪	xiàn
U+953B	锻	duàn
U+7779	睹	dǔ
U+90CA	郊	jiāo
U+9965	饥	jī
U+4F83	侃	kǎn
U+7C98	粘	nián,zhān
U+5A9B	媛	yuán,yuàn
U+8C0A	谊	yì
U+6073	恳	kěn
U+53AE	厮	sī
U+9524	锤	chuí
U+51F3	凳	dèng
U+6DEE	淮	huái
U+853D	蔽	bì
U+8042	聂	niè
U+8D29	贩	fàn
U+6F6D	潭	tán
U+7FE9	翩	piān
U+547B	呻	shēn
U+6789	枉	wǎng
U+62D8	拘	jū
U+716E	煮	zhǔ
U+7109	焉	yān
U+5740	址	zhǐ
U+5315	匕	bǐ
U+6E17	渗	shèn
U+89C8	览	lǎn
U+6566	敦	dūn
U+53A6	厦	shà,xià
U+8574	蕴	yùn
U+5189	冉	rǎn
U+85AA	薪	xīn
U+5443	呃	è,e
U+5CFB	峻	jùn
U+8350	荐	jiàn
U+683D	栽	zāi
U+568E	嚎	háo
U+6C41	汁	zhī
U+508D	傍	bàng
U+79C3	秃	tū
U+78D5	磕	kē
U+7980	禀	bǐng
U+73D1	珑	lóng
U+574E	坎	kǎn
U+90B5	邵	shào
U+840C	萌	méng
U+7A84	窄	zhǎi
U+962E	阮	ruǎn
U+8E48	蹈	dǎo
U+7891	碑	bēi
U+5A76	婶	shěn
U+7164	煤	méi
U+5BD3	寓	yù
U+6808	栈	zhàn
U+6EDE	滞	zhì
U+5018	倘	tǎng
U+676D	杭	háng
U+6687	暇	xiá
U+72C8	狈	bèi
U+5CE1	峡	xiá
U+4FA3	侣	lǚ
U+82A6	芦	lú,lǔ
U+8513	蔓	mán,màn,wàn
U+84B8	蒸	zhēng
U+7984	禄	lù
U+80C0	胀	zhàng
U+918B	醋	cù
U+6DCC	淌	tǎng
U+4F1E	伞	sǎn
U+59CA	姊	zǐ
U+94A9	钩	gōu
U+884D	衍	yǎn
U+59BE	妾	qiè
U+560E	嘎	gā,gá,gǎ
U+8700	蜀	shǔ
U+8774	蝴	hú
U+841D	萝	luó
U+83BD	莽	mǎng
U+5F29	弩	nǔ
U+7977	祷	dǎo
U+7A1A	稚	zhì
U+5733	圳	zhèn
U+5FBD	徽	huī
U+8859	衙	yá
U+54B8	咸	xián
U+964B	陋	lòu
U+5962	奢	shē
U+7F50	罐	guàn
U+9704	霄	xiāo
U+6BD9	毙	bì
U+6C5D	汝	rǔ
U+655E	敞	chǎng
U+66AE	暮	mù
U+5618	嘘	shī,xū
U+707C	灼	zhuó
U+6F9C	澜	lán
U+59D7	姗	shān
U+502A	倪	ní
U+632B	挫	cuò
U+54AA	咪	mī,mǐ
U+94A7	钧	jūn
U+6363	捣	dǎo
U+71E5	燥	zào
U+6CF3	泳	yǒng
U+7736	眶	kuàng
U+4E59	乙	yǐ
U+6F88	澈	chè
U+7115	焕	huàn
U+916C	酬	chóu
U+7B77	筷	kuài
U+5BB5	宵	xiāo
U+7F1A	缚	fù
U+63EA	揪	jiū
U+8681	蚁	yǐ
U+5587	喇	lǎ
U+4E1E	丞	chéng
U+62CE	拎	līn
U+68E0	棠	táng
U+5499	咙	lóng
U+68AD	梭	suō
U+54E7	哧	chī
U+68FA	棺	guān
U+7487	璇	xuán
U+701A	瀚	hàn
U+809D	肝	gān
U+655B	敛	liǎn
U+5242	剂	jì
U+75A4	疤	bā
U+6E14	渔	yú
U+55D4	嗔	chēn
U+6CAE	沮	jǔ
U+5ED6	廖	liào
U+864F	虏	lǔ
U+7693	皓	hào
U+52CB	勋	xūn
U+6055	恕	shù
U+8650	虐	nüè
U+865E	虞	yú
U+7EFC	综	zèng,zōng
U+763E	瘾	yǐn
U+9A74	驴	lǘ
U+6652	晒	shài
U+5366	卦	guà
U+8FE6	迦	jiā
U+9640	陀	tuó
U+7AA5	窥	kuī
U+5815	堕	duò
U+54C6	哆	duō
U+8461	葡	pú
U+5E16	帖	tiē,tiě,tiè
U+57AB	垫	diàn
U+5C61	屡	lǚ
U+9E45	鹅	é
U+86DB	蛛	zhū
U+76F2	盲	máng
U+789F	碟	dié
U+72DE	狞	níng
U+56DA	囚	qiú
U+8BCA	诊	zhěn
U+63FD	揽	lǎn
U+88F4	裴	péi
U+635E	捞	lāo
U+540F	吏	lì
U+94EE	铮	zhēng
U+8404	萄	táo
U+76CF	盏	zhǎn
U+9706	霆	tíng
U+5594	喔	wō
U+8D37	贷	dài
U+52FF	勿	wù
U+542D	吭	háng,kēng
U+6DD8	淘	táo
U+8F9F	辟	bì,pì
U+8511	蔑	miè
U+6DF9	淹	yān
U+9E92	麒	qí
U+55BD	喽	lóu,lou
U+6817	栗	lì
U+7EF7	绷	bēng,běng,bèng
U+60DA	惚	hū
U+6853	桓	huán
U+574A	坊	fāng,fáng
U+6869	桩	zhuāng
U+55FD	嗽	sòu
U+5C65	履	lǚ
U+7490	璐	lù
U+83E9	菩	pú
U+5DE2	巢	cháo
U+755C	畜	chù,xù
U+5140	兀	wù
U+6A0A	樊	fán
U+9521	锡	xī
U+68DA	棚	péng
U+4ED5	仕	shì
U+500F	倏	shū
U+82B9	芹	qín
U+50FB	僻	pì
U+7D6E	絮	xù
U+674F	杏	xìng
U+6D46	浆	jiāng,jiàng
U+762B	瘫	tān
U+5567	啧	zé
U+78C1	磁	cí
U+5188	冈	gāng
U+902E	逮	dǎi,dài
U+6413	搓	cuō
U+8D60	赠	zèng
U+80F6	胶	jiāo
U+810A	脊	jǐ
U+5669	噩	è
U+7EF0	绰	chāo,chuò
U+5455	呕	ǒu
U+56BC	嚼	jiáo,jiào,jué
U+8C10	谐	xié
U+6B7C	歼	jiān
U+63E3	揣	chuāi,chuǎi,chuài
U+6B96	殖	shi,zhí
U+62E7	拧	níng,nǐng,nìng
U+4F3A	伺	cì,sì
U+9716	霖	lín
U+9A7C	驼	tuó
U+8944	襄	xiāng
U+8854	衔	xián
U+60D5	惕	tì
U+63B7	掷	zhì
U+5378	卸	xiè
U+70BD	炽	chì
U+6556	敖	áo
U+60ED	惭	cán
U+6846	框	kuàng
U+6346	捆	kǔn
U+7729	眩	xuàn
U+8749	蝉	chán
U+8C1C	谜	mí
U+70AB	炫	xuàn
U+5858	塘	táng
U+9631	阱	jǐng
U+819C	膜	mó
U+4EA8	亨	hēng
U+5955	奕	yì
U+8682	蚂	mǎ,mà
U+7329	猩	xīng
U+6EE8	滨	bīn
U+6C81	沁	qìn
U+8DCB	跋	bá
U+85E9	藩	fān
U+8214	舔	tiǎn
U+6350	捐	juān
U+6B67	歧	qí
U+968B	隋	suí
U+8E6D	蹭	cèng
U+7504	甄	zhēn
U+8721	蜡	là
U+55E4	嗤	chī
U+7F38	缸	gāng
U+5B09	嬉	xī
U+54EE	哮	xiào
U+7184	熄	xī
U+7A8D	窍	qiào
U+4FDE	俞	yú
U+8C41	豁	huō,huò
U+5792	垒	lěi
U+6398	掘	jué
U+7426	琦	qí
U+5C4E	屎	shǐ
U+4E4D	乍	zhà
U+5B7D	孽	niè
U+6BEF	毯	tǎn
U+5F27	弧	hú
U+69D0	槐	huái
U+94E0	铠	kǎi
U+631F	挟	xié
U+895F	襟	jīn
U+68A8	梨	lí
U+55C5	嗅	xiù
U+7941	祁	qí
U+7EB2	纲	gāng
U+6E20	渠	qú
U+77E2	矢	shǐ
U+6345	捅	tǒng
U+625B	扛	gāng,káng
U+673D	朽	xiǔ
U+5FD6	忖	cǔn
U+5308	匈	xiōng
U+6252	扒	bā,pá
U+96CD	雍	yōng
U+83BA	莺	yīng
U+4FAE	侮	wǔ
U+95FA	闺	guī
U+9713	霓	ní
U+7A3D	稽	jī
U+658B	斋	zhāi
U+592D	夭	yāo
U+6CA6	沦	lún
U+63CD	揍	zòu
U+779F	瞟	piǎo
U+82DF	苟	gǒu
U+7409	琉	liú
U+6F2A	漪	yī
U+6691	暑	shǔ
U+7A9F	窟	kū
U+9493	钓	diào
U+9CDE	鳞	lín
U+74F7	瓷	cí
U+8431	萱	xuān
U+682A	株	zhū
U+502D	倭	wō
U+9798	鞘	qiào,shāo
U+6C9B	沛	pèi
U+565C	噜	lū
U+7EDE	绞	jiǎo
U+9893	颓	tuí
U+777F	睿	ruì
U+5657	噗	pū
U+5514	唔	wú
U+5E62	幢	chuáng,zhuàng
U+5580	喀	kā
U+8BC5	诅	zǔ
U+6D95	涕	tì
U+62E3	拣	jiǎn
U+8C23	谣	yáo
U+53FD	叽	jī
U+8471	葱	cōng
U+62ED	拭	shì
U+5A62	婢	bì
U+94F8	铸	zhù
U+7EEE	绮	qǐ
U+527F	剿	jiǎo
U+80E4	胤	yìn
U+79E9	秩	zhì
U+7554	畔	pàn
U+7CA5	粥	zhōu
U+594E	奎	kuí
U+7EF8	绸	chóu
U+8328	茨	cí
U+718F	熏	xūn
U+8E6C	蹬	dēng
U+8BCF	诏	zhào
U+5C94	岔	chà
U+53ED	叭	bā
U+5486	咆	páo
U+6EE5	滥	làn
U+68A7	梧	wú
U+57AE	垮	kuǎ
U+6FB3	澳	ào
U+6D59	浙	zhè
U+7538	甸	diàn
U+7EEF	绯	fēi
U+8BDB	诛	zhū
U+9C8D	鲍	bào
U+5201	刁	diāo
U+53A5	厥	jué
U+868A	蚊	wén
U+97A0	鞠	jū
U+6B46	歆	xīn
U+62D9	拙	zhuō
U+8317	茗	míng
U+7737	眷	juàn
U+622E	戮	lù
U+552C	唬	hǔ
U+9A8F	骏	jùn
U+6273	扳	bān
U+8E39	踹	chuài
U+6F13	漓	lí
U+8747	蝇	yíng
U+64C2	擂	léi,lèi
U+6DA1	涡	guō,wō
U+6C8C	沌	dùn,zhuàn
U+51F8	凸	tū
U+86A9	蚩	chī
U+917F	酿	niàng
U+553E	唾	tuò
U+7410	琐	suǒ
U+7280	犀	xī
U+6F84	澄	chéng,dèng
U+54C9	哉	zāi
U+733E	猾	huá
U+714E	煎	jiān
U+7A92	窒	zhì
U+867E	虾	xiā
U+8760	蝠	fú
U+949E	钞	chāo
U+74E3	瓣	bàn
U+5527	唧	jī
U+89D1	觑	qù
U+54FD	哽	gěng
U+5A25	娥	é
U+5A7F	婿	xù
U+8BAA	讪	shàn
U+8015	耕	gēng
U+846B	葫	hú
U+66A7	暧	ài
U+6D47	浇	jiāo
U+55E8	嗨	hāi
U+8BF5	诵	sòng
U+75AB	疫	yì
U+5162	兢	jīng
U+7BAB	箫	xiāo
U+9885	颅	lú
U+557C	啼	tí
U+7EC5	绅	shēn
U+6749	杉	shā,shān
U+55DC	嗜	shì
U+5238	券	quàn,xuàn
U+9041	遁	dùn
U+70AF	炯	jiǒng
U+970E	霎	shà
U+8BA5	讥	jī
U+8FED	迭	dié
U+5F77	彷	páng
U+89C5	觅	mì
U+5A34	娴	xián
U+62BF	抿	mǐn
U+5254	剔	tī
U+7A3B	稻	dào
U+6577	敷	fū
U+6CFB	泻	xiè
U+6020	怠	dài
U+9F9A	龚	gōng
U+7ED2	绒	róng
U+8BB3	讳	huì
U+52FA	勺	sháo
U+51FD	函	hán
U+55B3	喳	chā,zhā
U+9882	颂	sòng
U+6400	搀	chān
U+64A9	撩	liāo,liáo
U+64CE	擎	qíng
U+5DCD	巍	wēi
U+812F	脯	fǔ,pú
U+9576	镶	xiāng
U+5BE5	寥	liáo
U+6F3E	漾	yàng
U+7F34	缴	jiǎo
U+85C9	藉	jí,jiè
U+5F0A	弊	bì
U+901E	逞	chěng
U+818F	膏	gāo,gào
U+6233	戳	chuō
U+545B	呛	qiāng,qiàng
U+51F9	凹	āo
U+53E9	叩	kòu
U+79BD	禽	qín
U+61CA	懊	ào
U+61C8	懈	xiè
U+86DF	蛟	jiāo
U+4EA2	亢	kàng
U+5478	呸	pēi
U+828A	芊	qiān
U+6151	慑	shè
U+8DFA	跺	duò
U+8DC4	跄	qiàng
U+8680	蚀	shí
U+6816	栖	qī
U+851A	蔚	wèi,yù
U+94F2	铲	chǎn
U+576A	坪	píng
U+7B5D	筝	zhēng
U+9877	顷	qǐng
U+816E	腮	sāi
U+8E09	踉	liàng
U+72F0	狰	zhēng
U+8E31	踱	duó
U+55D6	嗖	sōu
U+82D1	苑	yuàn
U+79C9	秉	bǐng
U+733F	猿	yuán
U+5824	堤	dī
U+4F5F	佟	tóng
U+60AF	悯	mǐn
U+5520	唠	láo,lào
U+61A8	憨	hān
U+8098	肘	zhǒu
U+62C7	拇	mǔ
U+50DA	僚	liáo
U+9739	霹	pī
U+5A55	婕	jié
U+79B9	禹	yǔ
U+5543	啃	kěn
U+5300	匀	yún
U+6656	晖	huī
U+6005	怅	chàng
U+804B	聋	lóng
U+62EF	拯	zhěng
U+5FFF	忿	fèn
U+97E7	韧	rèn
U+90B9	邹	zōu
U+68A2	梢	shāo
U+808B	肋	lèi
U+7A98	窘	jiǒng
U+5D4C	嵌	qiàn
U+5A6A	婪	lán
U+8F96	辖	xiá
U+6D66	浦	pǔ
U+70AD	炭	tàn
U+66E6	曦	xī
U+7C07	簇	cù
U+87BA	螺	luó
U+9171	酱	jiàng
U+5C6F	屯	tún
U+60B4	悴	cuì
U+5321	匡	kuāng
U+5180	冀	jì
U+6A59	橙	chéng
U+5014	倔	jué,juè
U+9655	陕	shǎn
U+7B71	筱	xiǎo
U+53F1	叱	chì
U+9AD3	髓	suǐ
U+6DF3	淳	chún
U+77DC	矜	jīn
U+8A79	詹	zhān
U+83F1	菱	líng
U+82B7	芷	zhǐ
U+60FA	惺	xīng
U+6D4A	浊	zhuó
U+56D4	囔	nāng
U+6714	朔	shuò
U+6194	憔	qiáo
U+776B	睫	jié
U+776C	睬	cǎi
U+9E3D	鸽	gē
U+81C0	臀	tún
U+5428	吨	dūn
U+7B19	笙	shēng
U+621F	戟	jǐ
U+6CBC	沼	zhǎo
U+8C0D	谍	dié
U+6615	昕	xīn
U+86CA	蛊	gǔ
U+715C	煜	yù
U+7940	祀	sì
U+7F61	罡	gāng
U+4F36	伶	líng
U+836B	荫	yīn,yìn
U+9165	酥	sū
U+61E6	懦	nuò
U+5384	厄	è
U+5CE8	峨	é
U+8F74	轴	zhóu,zhòu
U+4F3D	伽	gā,jiā,qié
U+96F3	雳	lì
U+5375	卵	luǎn
U+6376	捶	chuí
U+6A90	檐	yán
U+68D8	棘	jí
U+55E3	嗣	sì
U+9497	钗	chāi
U+889C	袜	wà
U+59A9	妩	wǔ
U+7095	炕	kàng
U+504E	偎	wēi
U+7AA6	窦	dòu
U+874E	蝎	xiē
U+6EB6	溶	róng
U+5E7A	幺	yāo
U+81A8	膨	péng
U+5CD9	峙	shì,zhì
U+7F09	缉	jī,qī
U+5F8A	徊	huái
U+5457	呗	bei
U+8845	衅	xìn
U+7802	砂	shā
U+8235	舵	duò
U+663C	昼	zhòu
U+8FF8	迸	bèng
U+659F	斟	zhēn
U+8206	舆	yú
U+6912	椒	jiāo
U+9753	靓	jìng,liàng
U+65EC	旬	xún
U+5398	厘	lí
U+7A91	窑	yáo
U+840E	萎	wěi
U+6D9F	涟	lián
U+7599	疙	gē
U+82A0	芠	wén
U+7629	瘩	dá,da
U+68B5	梵	fàn
U+9774	靴	xuē
U+4FA5	侥	jiǎo,yáo
U+533F	匿	nì
U+631A	挚	zhì
U+956F	镯	zhuó
U+5151	兑	duì
U+5C27	尧	yáo
U+5F98	徘	pái
U+82BD	芽	yá
U+72D9	狙	jū
U+95F5	闵	mǐn
U+8FAB	辫	biàn
U+7011	瀑	bào,pù
U+55F7	嗷	áo
U+5E90	庐	lú
U+82AF	芯	xīn,xìn
U+79BE	禾	hé
U+6F8E	澎	péng
U+90A2	邢	xíng
U+7ECA	绊	bàn
U+8718	蜘	zhī
U+618E	憎	zēng
U+9761	靡	mí,mǐ
U+891A	褚	chǔ
U+6E5B	湛	zhàn
U+84B2	蒲	pú
U+5693	嚓	cā,chā
U+73C2	珂	kē
U+5D3D	崽	zǎi
U+8D2C	贬	biǎn
U+60EE	惮	dàn
U+5A75	婵	chán
U+55D2	嗒	dā
U+60B8	悸	jì
U+6666	晦	huì
U+6D85	涅	niè
U+606C	恬	tián
U+6177	慷	kāng
U+7A79	穹	qióng
U+6E23	渣	zhā
U+5C49	屉	tì
U+7F2D	缭	liáo
U+7EE2	绢	juàn
U+5B34	嬴	yíng
U+88B1	袱	fú
U+9EDD	黝	yǒu
U+8885	袅	niǎo
U+6DC7	淇	qí
U+8304	茄	jiā,qié
U+5BC5	寅	yín
U+8D66	赦	shè
U+60BB	悻	xìng
U+795F	祟	suì
U+69BB	榻	tà
U+86D9	蛙	wā
U+82C7	苇	wěi
U+5D69	嵩	sōng
U+8309	茉	mò
U+5530	唰	shuā
U+548F	咏	yǒng
U+51FF	凿	záo
U+7CAA	粪	fèn
U+566A	噪	zào
U+83CC	菌	jūn,jùn
U+8759	蝙	biān
U+5EB6	庶	shù
U+90B8	邸	dǐ
U+665F	晟	chéng
U+79A7	禧	xǐ
U+6512	攒	cuán,zǎn
U+65F1	旱	hàn
U+8654	虔	qián
U+741B	琛	chēn
U+69B4	榴	liú
U+6F31	漱	shù
U+5FD1	忑	tè
U+5323	匣	xiá
U+5FD0	忐	tǎn
U+8C2C	谬	miù
U+87D2	蟒	mǎng
U+68F1	棱	lēng,léng,líng
U+949D	钝	dùn
U+609A	悚	sǒng
U+5ED3	廓	kuò
U+60D8	惘	wǎng
U+6F09	漉	lù
U+87F9	蟹	xiè
U+4F6C	佬	lǎo
U+66F3	曳	yè
U+8D4E	赎	shú
U+58E4	壤	rǎng
U+5FE1	忡	chōng
U+5021	倡	chàng
U+51B6	冶	yě
U+59DD	姝	shū
U+7B60	筠	jūn,yún
U+7AFF	竿	gān
U+8737	蜷	quán
U+764C	癌	ái
U+5608	嘈	cáo
U+8695	蚕	cán
U+5256	剖	pōu
U+9881	颁	bān
U+7F00	缀	zhuì
U+6C40	汀	tīng
U+8C15	谕	yù
U+7261	牡	mǔ
U+6590	斐	fěi
U+61F5	懵	měng
U+7699	皙	xī
