U+4E07	万
U+7AB6	窶
U+7AB8	窸
U+7AB5	窵
U+7ABE	窾
U+7AC0	竀
U+7ABF	窿
U+7AC1	竁
U+7AD1	竑
U+7AD8	竘
U+7AE6	竦
U+7AEB	竫
U+7AF7	竷
U+7B10	笐
U+7B04	笄
U+7B13	笓
U+7B05	笅
U+7B0F	笏
U+7B08	笈
U+7B0A	笊
U+7B35	笵
U+7B3B	笻
U+7B34	笴
U+7B25	笥
U+7B30	笰
U+7B22	笢
U+7B24	笤
U+7B33	笳
U+7B18	笘
U+7B2A	笪
U+7B1D	笝
U+7B2E	笮
U+7B31	笱
U+7B2B	笫
U+7B2D	笭
U+7B2F	笯
U+7B32	笲
U+7B4A	筊
U+7B47	筇
U+7B51	筑
U+7B44	筄
U+7B48	筈
U+7B4C	筌
U+7B66	筦
U+7B64	筤
U+7B6D	筭
U+7B74	筴
U+7B6E	筮
U+7B69	筩
U+7B72	筲
U+7B65	筥
U+7B67	筧
U+7B73	筳
U+7B71	筱
U+7B70	筰
U+7B61	筡
U+7B88	箈
U+7B9C	箜
U+7B8A	箊
U+7B91	箑
U+7B90	箐
U+7BB8	箸
U+7B96	箖
U+7B8D	箍
U+7B8C	箌
U+7B9B	箛
U+7B8E	箎
U+7B85	箅
U+7B87	箇
U+7B98	箘
U+5284	劄
U+7B99	箙
U+7B84	箄
U+7BB7	箷
U+7BCB	篋
U+7BBE	箾
U+7BAC	箬
U+7BCE	篎
U+7BA0	箠
U+7BAF	箯
U+7BCC	篌
U+7BB9	箹
U+7BDE	篞
U+7BE3	篣
U+7BE7	篧
U+7BDD	篝
U+7BD5	篕
U+7BE5	篥
U+7BDA	篚
U+7BE8	篨
U+7BF9	篹
U+7BD4	篔
U+7BE6	篦
U+7BEA	篪
U+7C05	簅
U+7C0F	簏
U+7BF2	篲
U+7C00	簀
U+7BFF	篿
U+7BFB	篻
U+7C0C	簌
U+7C0E	簎
U+7BF4	篴
U+7C0B	簋
U+7BF3	篳
U+7C02	簂
U+7C09	簉
U+7C03	簃
U+7BE0	篠
U+7C01	簁
U+7BF8	篸
U+7BFD	篽
U+7C1C	簜
U+7C29	簩
U+7C19	簙
U+7C20	簠
U+7C1F	簟
U+7C2D	簭
U+7C1D	簝
U+7C26	簦
U+7C28	簨
U+7C22	簢
U+7C25	簥
U+7C33	簳
U+7C3C	簼
U+7C40	籀
U+7C39	簹
U+7C2C	簬
U+7C3B	簻
U+7C49	籉
U+7C48	籈
U+7C4A	籊
U+7C54	籔
U+7C57	籗
U+7C5C	籜
U+7C59	籙
U+7C5B	籛
U+7C67	籧
U+7C63	籣
U+7C65	籥
U+7C66	籦
U+7C69	籩
U+7C6F	籯
U+7C7D	籽
U+7C7A	籺
U+7C78	籸
U+7C79	籹
U+7C84	粄
U+7C91	粑
U+7C8A	粊
U+7C94	粔
U+7C98	粘
U+7C95	粕
U+7CA2	粢
U+7CB2	粲
U+7CBB	粻
U+7CBF	粿
U+7CBC	粼
U+7CBA	粺
U+7CC5	糅
U+7CC8	糈
U+7CCC	糌
U+7CD2	糒
U+7CD4	糔
U+7CD7	糗
U+7CDD	糝
U+7CEC	糬
U+7CEA	糪
U+7CF0	糰
U+7CF2	糲
U+7CF4	糴
U+7CF1	糱
U+7CF6	糶
U+7CF7	糷
U+7D06	紆
U+7D03	紃
U+7D08	紈
U+7D1E	紞
U+7D1D	紝
U+7D11	紑
U+7D0E	紎
U+7D18	紘
U+7D16	紖
U+7D13	紓
U+7D1F	紟
U+7D12	紒
U+7D35	紵
U+7D3D	紽
U+7D38	紸
U+7D36	紶
U+7D32	紲
U+7D3A	紺
U+7D31	紱
U+7D45	絅
U+7D2C	紬
U+7D29	紩
U+7D41	絁
U+7D47	絇
U+7D3E	紾
U+7D3F	紿
U+7D58	絘
U+7D6F	絯
U+7D63	絣
U+7D53	絓
U+7D70	絰
U+7D56	絖
U+7D67	絧
U+7D6A	絪
U+7D4F	絏
U+7D73	絳
U+7D6D	絭
U+7D5C	絜
U+7D6B	絫
U+7D88	綈
U+7D86	綆
U+7D80	綀
U+7D8D	綍
U+7D7F	絿
U+7D85	綅
U+7D7A	絺
U+7D8E	綎
U+7D7B	絻
U+7D83	綃
U+7D7C	絼
U+7D8C	綌
U+7D5B	絛
U+7D94	綔
U+7DA7	綧
U+7DB7	綷
U+7DC2	緂
U+7DA3	綣
U+7DAA	綪
U+7DC1	緁
U+7DC0	緀
U+7DC5	緅
U+7D9D	綝
U+7DCE	緎
U+7DC4	緄
U+7DC6	緆
U+7DCB	緋
U+7DAC	綬
U+7DCC	緌
U+7DAF	綯
U+7DB9	綹
U+7D96	綖
U+7DBC	綼
U+7D9F	綟
U+7DA6	綦
U+7DAE	綮
U+7DF7	緷
U+7DDB	緛
U+7DEA	緪
U+7DE7	緧
U+7DD7	緗
U+7DD9	緙
U+7DE1	緡
U+7E03	縃
U+7DFA	緺
U+7DE6	緦
U+7DF2	緲
U+7DF9	緹
U+7E4C	繌
U+7DF6	緶
U+7DF1	緱
U+7DF0	緰
U+7E12	縒
U+7E21	縡
U+7E1E	縞
U+7E17	縗
U+7E0C	縌
U+7E1F	縟
U+7E20	縠
U+7E1D	縝
U+7E13	縓
U+7E09	縉
U+7E0E	縎
U+7E1C	縜
U+7E15	縕
U+7E1A	縚
U+7E22	縢
U+7E10	縐
U+7E0B	縋
U+7E0F	縏
U+7E2D	縭
U+7E3C	縼
U+7E42	繂
U+7E34	縴
U+7E33	縳
U+7E39	縹
U+9848	顈
U+7E48	繈
U+7E38	縸
U+7E35	縵
U+7E2A	縪
U+7E49	繉
U+7E40	繀
U+7E47	繇
U+7E29	縩
U+7E30	縰
U+7E3F	縿
U+7E3B	縻
U+7E36	縶
U+7E44	繄
U+7E52	繒
U+7E5C	繜
U+7E50	繐
U+7E56	繖
U+7E63	繣
U+7E58	繘
U+7E62	繢
U+7E5F	繟
U+7E59	繙
U+7E51	繑
U+7E60	繠
U+7E76	繶
U+7E75	繵
U+7E78	繸
U+7E70	繰
U+7E77	繷
U+7E6F	繯
U+7E7A	繺
U+7E73	繳
U+7E72	繲
U+7E74	繴
U+7E7B	繻
U+7E7E	繾
U+7E81	纁
U+7E80	纀
U+7E8A	纊
U+7E87	纇
U+7E88	纈
U+7E8B	纋
U+7E86	纆
U+7E8D	纍
U+7E91	纑
U+7E95	纕
U+7E94	纔
U+7E97	纗
U+7E9A	纚
U+7E98	纘
U+7E9B	纛
U+7F3E	缾
U+7F3F	缿
U+7F43	罃
U+7F45	罅
U+7F4B	罋
U+7F4A	罊
U+7F4C	罌
U+7F4D	罍
U+7F4F	罏
U+7F51	网
U+7F58	罘
U+7F5C	罜
U+7F61	罡
U+7F5E	罞
U+7F60	罠
U+7F5D	罝
U+7F5B	罛
U+7F63	罣
U+7F65	罥
U+7F66	罦
U+7F6D	罭
U+7F6B	罫
U+7F67	罧
U+7F68	罨
U+7F6C	罬
U+7F73	罳
U+7F76	罶
U+7F7B	罻
U+7F7C	罼
U+7F7A	罺
U+7F7F	罿
U+7F7E	罾
U+7F7D	罽
U+7F83	羃
U+7F86	羆
U+7F87	羇
U+7F89	羉
U+7F91	羑
U+7F8D	羍
U+7F96	羖
U+7F92	羒
U+7F95	羕
U+7F9C	羜
U+7F9D	羝
U+7F9B	羛
U+7FA2	羢
U+7FA0	羠
U+7FA1	羡
U+7FA6	羦
U+7FA5	羥
U+7FA7	羧
U+7FAC	羬
U+7FB0	羰
U+7FAD	羭
U+7FB1	羱
U+7FB5	羵
U+7FB3	羳
U+7FB7	羷
U+7FBA	羺
U+7FBC	羼
U+7FBE	羾
U+7FC3	翃
U+7FC2	翂
U+7FCA	翊
U+7FCB	翋
U+7FCD	翍
U+7FD0	翐
U+7FD1	翑
U+7FC7	翇
U+7FCF	翏
U+7FDB	翛
U+7FDC	翜
U+7FE2	翢
U+7FE3	翣
U+7FE5	翥
U+7FED	翭
U+7FEB	翫
U+7FEA	翪
U+7FEC	翬
U+7FE6	翦
U+7FE8	翨
U+7FEE	翮
U+7FEF	翯
U+7FF4	翴
U+7FF2	翲
U+7FFD	翽
U+7FFE	翾
U+7FFF	翿
U+8004	耄
U+8007	耇
U+800B	耋
U+800E	耎
U+8011	耑
U+800F	耏
U+8014	耔
U+8016	耖
U+801F	耟
U+801E	耞
U+8021	耡
U+8024	耤
U+8026	耦
U+802A	耪
U+8028	耨
U+802C	耬
U+8030	耰
U+8034	耴
U+8035	耵
U+8037	耷
U+803E	耾
U+8039	耹
U+8047	聇
U+8043	聃
U+8048	聈
U+8051	聑
U+804F	聏
U+8052	聒
U+805D	聝
U+8075	聵
U+8079	聹
U+808A	肊
U+808F	肏
U+8095	肕
U+8099	肙
U+8090	肐
U+8092	肒
U+809C	肜
U+80AE	肮
U+80A3	肣
U+80B8	肸
U+80B5	肵
U+80D8	胘
U+80C7	胇
U+80E0	胠
U+80D1	胑
U+80C8	胈
U+80C2	胂
U+80D0	胐
U+80C5	胅
U+80E3	胣
U+80D9	胙
U+80DC	胜
U+80CA	胊
U+80D5	胕
U+80C9	胉
U+80DD	胝
U+80CF	胏
U+80D7	胗
U+80FA	胺
U+80F2	胲
U+80FC	胼
U+80FE	胾
U+80F9	胹
U+80EF	胯
U+80F5	胵
U+8101	脁
U+80FB	胻
U+8100	脀
U+80D4	胔
U+8118	脘
U+8130	脰
U+8125	脥
U+8124	脤
U+8119	脙
U+811B	脛
U+812D	脭
U+811F	脟
U+812C	脬
U+811E	脞
U+8121	脡
U+8115	脕
U+8127	脧
U+8143	腃
U+814A	腊
U+814C	腌
U+8152	腒
U+814F	腏
U+8153	腓
U+8147	腇
U+813D	脽
U+8174	腴
U+814D	腍
U+8164	腤
U+8160	腠
U+8177	腷
U+815C	腜
U+8169	腩
U+815B	腛
U+8162	腢
U+8172	腲
U+6721	朡
U+815E	腞
U+8176	腶
U+8167	腧
U+816F	腯
U+8144	腄
U+8189	膉
U+8186	膆
U+8183	膃
U+8187	膇
U+818D	膍
U+818C	膌
U+8182	膂
U+818B	膋
U+81A3	膣
U+819F	膟
U+8198	膘
U+819E	膞
U+8195	膕
U+81A2	膢
U+81B1	膱
U+81A6	膦
U+81AE	膮
U+81B9	膹
U+81B5	膵
U+81AB	膫
U+81B0	膰
U+81AC	膬
U+81B4	膴
U+81B2	膲
U+81B7	膷
U+81BB	膻
U+81C4	臄
U+81CC	臌
U+81CA	臊
U+81C5	臅
U+81C7	臇
U+81D1	臑
U+81D2	臒
U+81D0	臐
U+81D7	臗
U+81D5	臕
U+81DB	臛
U+81D9	臙
U+81DD	臝
U+81DE	臞
U+81E2	臢
U+81E0	臠
U+81E1	臡
U+81E6	臦
U+81E9	臩
U+81EE	臮
U+81F2	臲
U+81F7	臷
U+81F8	臸
U+81FF	臿
U+8201	舁
U+8204	舄
U+820B	舋
U+8211	舑
U+8215	舕
U+8216	舖
U+821D	舝
U+8220	舠
U+8221	舡
U+822F	舯
U+8238	舸
U+8233	舳
U+823A	舺
U+8234	舴
U+8232	舲
U+823C	舼
U+823D	舽
U+8249	艉
U+8244	艄
U+8240	艀
U+8242	艂
U+8245	艅
U+824B	艋
U+824F	艏
U+8253	艓
U+8252	艒
U+8250	艐
U+824E	艎
U+8251	艑
U+8255	艕
U+825B	艛
U+825F	艟
U+8264	艤
U+8268	艨
U+826B	艫
U+8274	艴
U+8275	艵
U+8278	艸
U+827C	艼
U+8280	芀
U+827D	艽
U+8290	芐
U+828F	芏
U+8285	芅
U+828E	芎
U+8291	芑
U+8293	芓
U+828A	芊
U+8283	芃
U+8284	芄
U+8294	芔
U+82A0	芠
U+82C0	苀
U+82AF	芯
U+82AB	芫
U+82B8	芸
U+829A	芚
U+8298	芘
U+82A3	芣
U+82B0	芰
U+82BE	芾
U+829B	芛
U+82B5	芵
U+82A7	芧
U+82AE	芮
U+82B7	芷
U+82BC	芼
U+829E	芞
U+82BA	芺
U+82B4	芴
U+82A8	芨
U+82A1	芡
U+82A9	芩
U+82D9	苙
U+82FE	苾
U+82F9	苹
U+82EF	苯
U+8307	茇
U+82E8	苨
U+8300	茀
U+82D5	苕
U+833A	茺
U+82EB	苫
U+82D6	苖
U+82F4	苴
U+82EC	苬
U+82E1	苡
U+82F2	苲
U+82F5	苵
U+830C	茌
U+82FB	苻
U+8306	茆
U+82F6	苶
U+8333	茳
U+8328	茨
U+832D	茭
U+8344	荄
U+8319	茙
U+8351	荑
U+8325	茥
U+8356	荖
U+833F	茿
U+8341	荁
U+8326	茦
U+831C	茜
U+8322	茢
U+8342	荂
U+834E	荎
U+831B	茛
U+832A	茪
U+8308	茈
U+833C	茼
U+834D	荍
U+8316	茖
U+8324	茤
U+8320	茠
U+8337	茷
U+832F	茯
U+8329	茩
U+8347	荇
U+8343	荃
U+8345	荅
U+833B	茻
U+8390	莐
U+83A3	莣
U+83A8	莨
U+838D	莍
U+837A	荺
U+8373	荳
U+8386	莆
U+83A4	莤
U+8374	荴
U+838F	莏
U+8381	莁
U+8395	莕
U+8399	莙
U+8375	荵
U+83A7	莧
U+8394	莔
U+83A9	莩
U+837D	荽
U+8383	莃
U+838C	莌
U+839D	莝
U+839B	莛
U+83AA	莪
U+838B	莋
U+837E	荾
U+83A5	莥
U+83CF	菏
U+83F9	菹
U+8423	萣
U+83C0	菀
U+83E8	菨
U+8412	萒
U+83E7	菧
U+83E4	菤
U+83FC	菼
U+83F6	菶
U+8410	萐
U+8407	萇
U+83C6	菆
U+83C8	菈
U+83EB	菫
U+83E3	菣
U+83BF	莿
U+8401	萁
U+83DD	菝
U+83E5	菥
U+83D8	菘
U+83FF	菿
U+83E1	菡
U+83CB	菋
U+83CE	菎
U+83D6	菖
U+83F5	菵
U+83C9	菉
U+8409	萉
U+83D4	菔
U+83DF	菟
U+840F	萏
U+83DE	菞
U+8411	萑
U+8406	萆
U+83C2	菂
U+83F3	菳
U+83D5	菕
U+83FA	菺
U+83C7	菇
U+83D1	菑
U+84F1	蓱
U+843F	萿
U+8456	葖
U+8476	葶
U+8479	葹
U+848F	蒏
U+848D	蒍
U+8465	葥
U+8451	葑
U+8440	葀
U+8486	蒆
U+8467	葧
U+8430	萰
U+844D	葍
U+847D	葽
U+845A	葚
U+8459	葙
U+8474	葴
U+8473	葳
U+845D	葝
U+8507	蔇
U+845E	葞
U+8437	萷
U+846D	葭
U+843A	萺
U+8434	萴
U+847A	葺
U+8443	葃
U+8478	葸
U+8432	萲
U+8445	葅
U+8429	萩
U+83D9	菙
U+844B	葋
U+842F	萯
U+8442	葂
U+842D	萭
U+845F	葟
U+8446	葆
U+8470	葰
U+8439	萹
U+844E	葎
U+844C	葌
U+8452	葒
U+846F	葯
U+8497	蒗
U+84A4	蒤
U+84A1	蒡
U+849F	蒟
U+84D1	蓑
U+84BA	蒺
U+84CE	蓎
U+84C2	蓂
U+84AC	蒬
U+84AE	蒮
U+84AB	蒫
U+84B9	蒹
U+84B4	蒴
U+84C1	蓁
U+84CD	蓍
U+84AA	蒪
U+849A	蒚
U+84B1	蒱
U+84D0	蓐
U+849D	蒝
U+84A7	蒧
U+84BB	蒻
U+84A2	蒢
U+8494	蒔
U+84C7	蓇
U+84CC	蓌
U+849B	蒛
U+84A9	蒩
U+84AF	蒯
U+84A8	蒨
U+84D6	蓖
U+8498	蒘
U+84B6	蒶
U+84CA	蓊
U+84CF	蓏
U+84A0	蒠
U+8506	蔆
U+8524	蔤
U+853B	蔻
U+850F	蔏
U+8500	蔀
U+8529	蔩
U+850E	蔎
U+8509	蔉
U+850D	蔍
U+851F	蔟
U+850A	蔊
U+8527	蔧
U+851C	蔜
U+84FB	蓻
U+852B	蔫
U+84FA	蓺
U+8508	蔈
U+850C	蔌
U+84F4	蓴
U+852A	蔪
U+84F2	蓲
U+8515	蔕
U+84F7	蓷
U+84EB	蓫
U+84F3	蓳
U+84FC	蓼
U+8512	蔒
U+84EA	蓪
U+84E9	蓩
U+8516	蔖
U+84FE	蓾
U+8528	蔨
U+851D	蔝
U+852E	蔮
U+8502	蔂
U+84FD	蓽
U+851E	蔞
U+84F6	蓶
U+8531	蔱
U+8526	蔦
U+84E7	蓧
U+84E8	蓨
U+8575	蕵
U+84F0	蓰
U+84EF	蓯
U+84F9	蓹
U+8518	蔘
U+8520	蔠
U+8530	蔰
U+8556	蕖
U+8545	蕅
U+856B	蕫
U+854D	蕍
U+8553	蕓
U+8561	蕡
U+8558	蕘
U+8540	蕀
U+8546	蕆
U+8564	蕤
U+8541	蕁
U+855E	蕞
U+8562	蕢
U+8544	蕄
U+8551	蕑
U+8547	蕇
U+8563	蕣
U+853E	蔾
U+855B	蕛
U+8571	蕱
U+854E	蕎
U+856E	蕮
U+8555	蕕
U+8567	蕧
U+8560	蕠
U+858C	薌
U+8566	蕦
U+855D	蕝
U+8583	薃
U+8580	薀
U+858F	薏
U+85A7	薧
U+8595	薕
U+85A0	薠
U+858B	薋
U+85A3	薣
U+857B	蕻
U+85A4	薤
U+859A	薚
U+859E	薞
U+8577	蕷
U+857C	蕼
U+8589	薉
U+85A1	薡
U+857A	蕺
U+8578	蕸
U+8557	蕗
U+858E	薎
U+8596	薖
U+85A8	薨
U+8586	薆
U+858D	薍
U+8599	薙
U+859D	薝
U+858A	薊
U+8581	薁
U+85A2	薢
U+8582	薂
U+8588	薈
U+8585	薅
U+85B4	薴
U+85C6	藆
U+85C0	藀
U+85BA	薺
U+85C3	藃
U+85C2	藂
U+85B9	薹
U+85B3	薳
U+85B5	薵
U+85BD	薽
U+85C7	藇
U+85C4	藄
U+85BF	薿
U+85CB	藋
U+85CE	藎
U+85C8	藈
U+85C5	藅
U+85B1	薱
U+85B6	薶
U+85D2	藒
U+8624	蘤
U+85EB	藫
U+85F1	藱
U+85ED	藭
U+85D9	藙
U+85E1	藡
U+85E8	藨
U+85F7	藷
U+85DA	藚
U+85D7	藗
U+85EC	藬
U+85F8	藸
U+85D8	藘
U+85DF	藟
U+85E3	藣
U+85DC	藜
U+85D1	藑
U+85F0	藰
U+8622	蘢
U+85FF	藿
U+8601	蘁
U+85FE	藾
U+861B	蘛
U+8600	蘀
U+85F2	藲
U+85F6	藶
U+8604	蘄
U+8609	蘉
U+8605	蘅
U+860C	蘌
U+8618	蘘
U+862A	蘪
U+8626	蘦
U+861F	蘟
U+8623	蘣
U+861C	蘜
U+8619	蘙
U+8627	蘧
U+862E	蘮
U+8621	蘡
U+8620	蘠
U+8629	蘩
U+861E	蘞
U+8625	蘥
U+8634	蘴
U+8635	蘵
U+8633	蘳
U+862C	蘬
U+863A	蘺
U+8640	虀
U+8639	蘹
U+863C	蘼
U+8631	蘱
U+863B	蘻
U+863E	蘾
U+8643	虃
U+8646	虆
U+8647	虇
U+8648	虈
U+864C	虌
U+864B	虋
U+8653	虓
U+8652	虒
U+8659	虙
U+8656	虖
U+8661	虡
U+8662	虢
U+8663	虣
U+8669	虩
U+866A	虪
U+8670	虰
U+866F	虯
U+866D	虭
U+866E	虮
U+867B	虻
U+8677	虷
U+867A	虺
U+8674	虴
U+86A2	蚢
U+86A8	蚨
U+8696	蚖
U+868D	蚍
U+8691	蚑
U+869E	蚞
U+869C	蚜
U+8687	蚇
U+8697	蚗
U+8686	蚆
U+868B	蚋
U+869A	蚚
U+8685	蚅
U+86A5	蚥
U+8699	蚙
U+86A1	蚡
U+86A7	蚧
U+8695	蚕
U+86BF	蚿
U+86B7	蚷
U+86C2	蛂
U+86C1	蛁
U+86C5	蛅
U+86BA	蚺
U+86B0	蚰
U+86C8	蛈
U+86B9	蚹
U+86B3	蚳
U+86C9	蛉
U+86B8	蚸
U+86CC	蛌
U+86B4	蚴
U+86BB	蚻
U+86BC	蚼
U+86D8	蛘
U+86E2	蛢
U+86E6	蛦
U+86D3	蛓
U+86E3	蛣
U+86DA	蛚
U+86EA	蛪
U+86DD	蛝
U+86D0	蛐
U+86DE	蛞
U+86EB	蛫
U+86DC	蛜
U+86EC	蛬
U+86E9	蛩
U+86D7	蛗
U+870B	蜋
U+8704	蜄
U+86F7	蛷
U+870C	蜌
U+86FA	蛺
U+86D6	蛖
U+86F5	蛵
U+874D	蝍
U+86F8	蛸
U+8706	蜆
U+870E	蜎
U+8709	蜉
U+8701	蜁
U+870A	蜊
U+86F6	蛶
U+870D	蜍
U+8733	蜳
U+8737	蜷
U+8723	蜣
U+8728	蜨
U+876B	蝫
U+8740	蝀
U+872E	蜮
U+871E	蜞
U+8721	蜡
U+8719	蜙
U+871B	蜛
U+8743	蝃
U+872C	蜬
U+8741	蝁
U+873E	蜾
U+8746	蝆
U+8720	蜠
U+8732	蜲
U+8729	蜩
U+872A	蜪
U+872D	蜭
U+873C	蜼
U+8712	蜒
U+873A	蜺
U+8731	蜱
U+8735	蜵
U+8742	蝂
U+8726	蜦
U+8727	蜧
U+8738	蜸
U+8724	蜤
U+871A	蜚
U+8730	蜰
U+8711	蜑
U+8756	蝖
U+8763	蝣
U+8764	蝤
U+8777	蝷
U+87E1	蟡
U+8773	蝳
U+8758	蝘
U+8754	蝔
U+875B	蝛
U+8752	蝒
U+8761	蝡
U+875A	蝚
U+8751	蝑
U+875E	蝞
U+876D	蝭
U+876A	蝪
U+8750	蝐
U+874E	蝎
U+875F	蝟
U+875D	蝝
U+876F	蝯
U+876C	蝬
U+8753	蝓
U+877A	蝺
U+876E	蝮
U+875C	蝜
U+8765	蝥
U+879B	螛
U+878F	螏
U+8797	螗
U+8793	螓
U+8792	螒
U+8788	螈
U+8781	螁
U+8796	螖
U+8798	螘
U+8779	蝹
U+8787	螇
U+87A3	螣
U+8785	螅
U+8790	螐
U+8791	螑
U+879D	螝
U+8784	螄
U+8794	螔
U+879C	螜
U+879A	螚
U+87BE	螾
U+87AA	螪
U+87AD	螭
U+87C5	蟅
U+87B0	螰
U+87AC	螬
U+87B9	螹
U+87B5	螵
U+87BC	螼
U+87AE	螮
U+87C9	蟉
U+87C3	蟃
U+87C2	蟂
U+87CC	蟌
U+87B7	螷
U+87AF	螯
U+87C4	蟄
U+87CA	蟊
U+87B4	螴
U+87B6	螶
U+87BF	螿
U+87B8	螸
U+87BD	螽
U+87DE	蟞
U+87E7	蟧
U+87E6	蟦
U+87E2	蟢
U+87DB	蟛
U+87EB	蟫
U+87EA	蟪
U+87E5	蟥
U+87DF	蟟
U+87F3	蟳
U+87E4	蟤
U+87D4	蟔
U+87E0	蟠
U+87DC	蟜
U+87D3	蟓
U+87ED	蟭
U+87D8	蟘
U+87E3	蟣
U+6594	斔
U+87D7	蟗
U+87D9	蟙
U+8801	蠁
U+87F4	蟴
U+87E8	蟨
U+8800	蠀
U+87FA	蟺
U+8803	蠃
U+87F6	蟶
U+87F7	蟷
U+8809	蠉
U+880C	蠌
U+880B	蠋
U+87FE	蟾
U+8806	蠆
U+87FC	蟼
U+8808	蠈
U+87FF	蟿
U+8819	蠙
U+8810	蠐
U+8811	蠑
U+8817	蠗
U+8813	蠓
U+8816	蠖
U+8829	蠩
U+881D	蠝
U+881B	蠛
U+8820	蠠
U+8824	蠤
U+881C	蠜
U+882B	蠫
U+882C	蠬
U+8828	蠨
U+8826	蠦
U+882A	蠪
U+8825	蠥
U+8830	蠰
U+8832	蠲
U+882E	蠮
U+8833	蠳
U+8838	蠸
U+8837	蠷
U+8835	蠵
U+883C	蠼
U+883E	蠾
U+883D	蠽
U+883F	蠿
U+8841	衁
U+8843	衃
U+8844	衄
U+8848	衈
U+884A	衊
U+884B	衋
U+884E	衎
U+8852	衒
U+8856	衖
U+8855	衕
U+885A	衚
U+8867	衧
U+886A	衪
U+8869	衩
U+886D	衭
U+887D	衽
U+8875	衵
U+8876	衶
U+8872	衲
U+8880	袀
U+8871	衱
U+8879	衹
U+887F	衿
U+886F	衯
U+8883	袃
U+887E	衾
U+8889	袉
U+8895	袕
U+88A8	袨
U+88A2	袢
U+88AA	袪
U+889A	袚
U+8891	袑
U+88A1	袡
U+889F	袟
U+8898	袘
U+88A7	袧
U+8899	袙
U+889B	袛
U+8897	袗
U+88A4	袤
U+88AC	袬
U+888C	袌
U+88BA	袺
U+88D7	裗
U+88B9	袹
U+88B8	袸
U+88C0	裀
U+88BE	袾
U+88B6	袶
U+88BC	袼
U+88B7	袷
U+88BD	袽
U+88B2	袲
U+88D6	裖
U+88CB	裋
U+88CD	裍
U+88CE	裎
U+88DE	裞
U+88DB	裛
U+88D2	裒
U+88DA	裚
U+88F7	裷
U+88E7	裧
U+88F1	裱
U+88F2	裲
U+88FA	裺
U+88FE	裾
U+88EE	裮
U+88FC	裼
U+88F6	裶
U+88EF	裯
U+88FB	裻
U+8901	褁
U+8905	褅
U+890C	褌
U+8914	褔
U+890B	褋
U+8917	褗
U+8918	褘
U+8919	褙
U+8906	褆
U+8916	褖
U+8911	褑
U+8915	褕
U+890A	褊
U+890E	褎
U+8921	褡
U+891E	褞
U+8926	褦
U+8930	褰
U+892D	褭
U+892E	褮
U+8927	褧
U+8931	褱
U+8922	褢
U+8929	褩
U+8935	褵
U+8933	褳
U+893C	褼
U+893E	褾
U+8941	襁
U+8952	襒
U+8937	褷
U+8942	襂
U+893D	褽
U+8953	襓
U+894B	襋
U+894F	襏
U+894C	襌
U+8946	襆
U+8950	襐
U+8962	襢
U+895A	襚
U+895B	襛
U+8957	襗
U+8961	襡
U+895C	襜
U+8958	襘
U+895D	襝
U+895E	襞
U+8963	襣
U+8966	襦
U+896D	襭
U+8969	襩
U+896E	襮
U+896C	襬
U+8976	襶
U+8974	襴
U+8973	襳
U+8979	襹
U+897A	襺
U+897E	襾
U+8982	覂
U+8985	覅
U+8988	覈
U+8995	覕
U+8998	覘
U+899C	覜
U+899B	覛
U+899D	覝
U+89A1	覡
U+89A2	覢
U+89A4	覤
U+89A3	覣
U+89AD	覭
U+89AF	覯
U+89AE	覮
U+89B7	覷
U+89B6	覶
U+89BF	覿
U+89D4	觔
U+89D3	觓
U+89D6	觖
U+89D9	觙
U+89D5	觕
U+89DD	觝
U+89DA	觚
U+89DF	觟
U+89E5	觥
U+89E4	觤
U+89E1	觡
U+89E0	觠
U+89E2	觢
U+89DC	觜
U+89E9	觩
U+89EB	觫
U+89ED	觭
U+89F0	觰
U+89EC	觬
U+89F1	觱
U+89F2	觲
U+89F3	觳
U+89F6	觶
U+89F7	觷
U+89FA	觺
U+89FB	觻
U+89FC	觼
U+89FE	觾
U+89FF	觿
U+8A04	訄
U+8A07	訇
U+8A0F	訏
U+8A12	訒
U+8A11	訑
U+8A30	訰
U+8A27	訧
U+8A2C	訬
U+8A1E	訞
U+8A22	訢
U+8A4E	詎
U+8A4D	詍
U+8A36	訶
U+8A39	訹
U+8A59	詙
U+8A56	詖
U+8A40	詀
U+8A57	詗
U+8A58	詘
U+8A44	詄
U+8A45	詅
U+8A52	詒
U+8A48	詈
U+8A76	詶
U+8A86	誆
U+8A7F	詿
U+8A61	詡
U+8A3F	訿
U+8A77	詷
U+8A82	誂
U+8A84	誄
U+8A75	詵
U+8A7B	詻
U+8A83	誃
U+8A3E	訾
U+8AAB	誫
U+8A99	誙
U+8A8B	誋
U+8A9A	誚
U+8A92	誒
U+8AB6	誶
U+8ACF	諏
U+8AC6	諆
U+8AB8	誸
U+8AD3	諓
U+8AD1	諑
U+8AD4	諔
U+8AD5	諕
U+8ABB	誻
U+8AB9	誹
U+8AD7	諗
U+8ABE	誾
U+8ADB	諛
U+8AC0	諀
U+8AC5	諅
U+8AE0	諠
U+8AF3	諳
U+8AE2	諢
U+8AF2	諲
U+8AF6	諶
U+8AF4	諴
U+8AF5	諵
U+8ADD	諝
U+8B14	謔
U+8AE4	諤
U+8ADF	諟
U+8AF0	諰
U+8AFC	諼
U+8AC8	諈
U+8ADE	諞
U+8AE1	諡
U+8B1E	謞
U+8B10	謐
U+8B18	謘
U+8B16	謖
U+8B11	謑
